ds,yhat,yhat_lower,yhat_upper
2025-01-01,5202764.259651309,4645343.72422257,5726908.395860732
2025-01-02,6133061.098866824,5549567.216299653,6688285.82171476
2025-01-03,6788208.093791638,6261162.226505863,7347834.65317343
2025-01-04,5814166.612229688,5301305.851342674,6340751.886552466
2025-01-05,6117198.307345185,5537738.015003398,6657989.00656386
2025-01-06,5968157.317454915,5437376.689935437,6526429.133954162
2025-01-07,5463809.92071616,4860453.939338867,5976340.138812968
2025-01-08,5427138.965778747,4888807.141468242,6024665.830659445
2025-01-09,5686433.0875525065,5146971.440102523,6294572.322499005
2025-01-10,6497324.035888208,5947781.067107557,7058342.710604891
2025-01-11,5522729.813236357,4977284.487250599,6078126.186034838
2025-01-12,6259504.594876343,5706552.700431356,6830791.263758114
2025-01-13,6077273.279848164,5499424.995239319,6625363.970364921
2025-01-14,5488772.889618236,4905520.457796492,6021340.558325373
2025-01-15,5135869.746567363,4586440.617335577,5691331.356060551
2025-01-16,5986635.273783377,5472589.297743299,6532689.310762688
2025-01-17,6524189.407659174,5968539.631129988,7075624.891209575
2025-01-18,6147028.932761745,5612458.62053263,6773732.783853803
2025-01-19,6337847.534660417,5727731.387426674,6884263.1186191635
2025-01-20,6130043.12174516,5541690.116238317,6674910.371109484
2025-01-21,6012585.5486822855,5477858.856783491,6560274.6603366295
2025-01-22,5751283.225669084,5200069.50751712,6300266.857611179
2025-01-23,5956736.805871094,5450151.453326656,6522405.892601306
2025-01-24,6526487.0481431205,5946322.855617789,7098331.266625162
2025-01-25,6117178.058394475,5545943.375448932,6682846.731065152
2025-01-26,6257284.174890736,5742167.72732505,6781312.879779298
2025-01-27,6043049.885633782,5496008.020310825,6623384.473965758
2025-01-28,5818425.128958115,5265533.601034876,6370562.09924775
2025-01-29,5478856.511280073,4956081.858363339,6041082.59805684
2025-01-30,5752183.158106746,5213208.058313023,6278034.370386934
2025-01-31,6613046.050676545,6058489.328425143,7152707.298499921
2025-02-01,6218216.921578654,5692950.201655001,6806038.191482946
2025-02-02,6209117.8067365,5650245.78134875,6757854.253037229
2025-02-03,5201644.466365378,4656437.059564834,5820328.975729325
2025-02-04,5775342.5767215155,5224790.645199553,6306230.939812307
2025-02-05,6524313.112867551,6010989.627336986,7049471.9301411295
2025-02-06,5482736.377052456,4947859.654334025,6065016.264496027
2025-02-07,6314860.276320855,5778734.917453154,6882630.362084294
