date,store_id,product_id,category,rack_location,quantity_sold,unit_price_npr,discount_percent,customer_traffic,inventory_level,rainfall_mm,temperature,petrol_price,revenue_npr,cost_npr,profit_npr,is_dashain,is_tihar,is_holi,is_eid,is_lhosar,holiday_name,is_holiday,nepali_month,day_of_week,day,month,year,weekofyear,is_salary_week,festival_season
2024-04-12,15,1031,Television,R4-D,3,155903.32,0,11,395,20.28,30.9,186.42,467709.96,327396.97,140312.99,0,0,0,0,0,,0,Shrawan,Friday,12,4,2024,15,0,0
2024-12-14,5,1049,Router,R3-A,4,94886.93,0,26,428,10.65,7.8,169.22,379547.72,265683.4,113864.32,0,0,0,0,0,,0,Chaitra,Saturday,14,12,2024,50,0,0
2024-09-27,3,1040,Television,R4-D,4,151483.73,10,353,147,13.65,29.0,194.65,545341.43,424154.44,121186.99,0,0,0,0,0,,0,Poush,Friday,27,9,2024,39,0,0
2024-04-16,5,1065,Smartphone,R1-A,8,185528.26,5,21,300,29.04,12.2,163.1,1410014.78,1038958.26,371056.52,0,0,0,0,0,,0,Shrawan,Tuesday,16,4,2024,16,0,0
2024-03-12,8,1024,Television,R4-D,4,149310.79,20,437,278,3.87,21.2,171.1,477794.53,418070.21,59724.32,0,0,0,0,0,,0,Ashadh,Tuesday,12,3,2024,11,0,0
2024-07-07,8,1060,Television,R4-D,5,63254.64,10,191,445,17.47,34.7,190.4,284645.88,221391.24,63254.64,0,0,0,0,0,,0,Kartik,Sunday,7,7,2024,27,1,0
2024-01-21,8,1065,Smartphone,R1-A,2,113245.58,10,343,469,10.93,34.5,194.87,203842.04,158543.81,45298.23,0,0,0,0,0,,0,Baisakh,Sunday,21,1,2024,3,0,0
2024-04-12,12,1041,Headphone,R3-C,4,182497.5,20,16,289,10.57,14.5,164.56,583992.0,510993.0,72999.0,0,0,0,0,0,,0,Shrawan,Friday,12,4,2024,15,0,0
2024-05-01,8,1064,Headphone,R3-C,7,90921.35,15,255,20,0.1,9.0,184.72,540982.03,445514.62,95467.41,0,0,0,0,0,,0,Bhadra,Wednesday,1,5,2024,18,1,0
2024-08-02,11,1035,Television,R4-D,3,136976.3,15,483,434,27.53,33.1,167.23,349289.56,287650.23,61639.33,0,0,0,0,0,,0,Mangsir,Friday,2,8,2024,31,1,0
