ds,yhat,yhat_lower,yhat_upper
2025-01-01,4782582.820697125,4782582.820697125,4782582.820697125
2025-01-02,5929709.99570026,5929709.99570026,5929709.99570026
2025-01-03,6666474.625898549,6666474.625898549,6666474.625898549
2025-01-04,5394364.882684611,5394364.882684611,5394364.882684611
2025-01-05,5767724.221821695,5767724.221821695,5767724.221821695
2025-01-06,5499660.660099488,5499660.660099488,5499660.660099488
2025-01-07,4467849.836270409,4467849.836270409,4467849.836270409
2025-01-08,4432083.1065979665,4432083.1065979665,4432083.1065979665
2025-01-09,5475163.243209125,5475163.243209125,5475163.243209125
2025-01-10,6662708.848335861,6662708.848335861,6662708.848335861
2025-01-11,5248143.313218659,5248143.313218659,5248143.313218659
2025-01-12,6764789.40343384,6764789.40343384,6764789.40343384
2025-01-13,6204327.503609841,6204327.503609841,6204327.503609841
2025-01-14,5075781.111326208,5075781.111326208,5075781.111326208
2025-01-15,4705110.4087507995,4705110.4087507995,4705110.4087507995
2025-01-16,5780754.06693529,5780754.06693529,5780754.06693529
2025-01-17,6589446.531795989,6589446.531795989,6589446.531795989
2025-01-18,5971193.944228788,5971193.944228788,5971193.944228788
2025-01-19,6399389.156278132,6399389.156278132,6399389.156278132
2025-01-20,6048011.517915403,6048011.517915403,6048011.517915403
2025-01-21,5688652.3256410835,5688652.3256410835,5688652.3256410835
2025-01-22,5636564.013359685,5636564.013359685,5636564.013359685
2025-01-23,6103293.115070001,6103293.115070001,6103293.115070001
2025-01-24,6740733.696408898,6740733.696408898,6740733.696408898
2025-01-25,6187673.0766564645,6187673.0766564645,6187673.0766564645
2025-01-26,6625690.559714325,6625690.559714325,6625690.559714325
2025-01-27,6079940.896075394,6079940.896075394,6079940.896075394
2025-01-28,5892265.549440936,5892265.549440936,5892265.549440936
2025-01-29,5664080.859470511,5664080.859470511,5664080.859470511
2025-01-30,5827335.571056273,5827335.571056273,5827335.571056273
2025-01-31,7163945.657492603,7163945.657492603,7163945.657492603
2025-02-01,6282927.988967134,6282927.988967134,6282927.988967134
2025-02-02,6510960.064109817,6510960.064109817,6510960.064109817
2025-02-03,5248239.9480489185,5248239.9480489185,5248239.9480489185
2025-02-04,5804758.05312485,5804758.05312485,5804758.05312485
2025-02-05,6913199.923148136,6913199.923148136,6913199.923148136
2025-02-06,5025200.536108442,5025200.536108442,5025200.536108442
2025-02-07,6320788.496648647,6320788.496648647,6320788.496648647
2025-02-08,6062827.36506488,6062827.36506488,6062827.36506488
2025-02-09,6278398.029759356,6278398.029759356,6278398.029759356
2025-02-10,5362599.981624453,5362599.981624453,5362599.981624453
2025-02-11,5337928.434266452,5337928.434266452,5337928.434266452
2025-02-12,6600554.249399435,6600554.249399435,6600554.249399435
2025-02-13,5104576.082927163,5104576.082927163,5104576.082927163
2025-02-14,6089422.5544529,6089422.5544529,6089422.5544529
2025-02-15,6058339.634372117,6058339.634372117,6058339.634372117
2025-02-16,6176338.144982628,6176338.144982628,6176338.144982628
2025-02-17,5399635.096302149,5399635.096302149,5399635.096302149
2025-02-18,5467606.1510255225,5467606.1510255225,5467606.1510255225
2025-02-19,6730992.196817683,6730992.196817683,6730992.196817683
2025-02-20,5301698.5501173865,5301698.5501173865,5301698.5501173865
2025-02-21,6182232.728808786,6182232.728808786,6182232.728808786
2025-02-22,6151028.507519903,6151028.507519903,6151028.507519903
2025-02-23,6305652.1942497445,6305652.1942497445,6305652.1942497445
2025-02-24,5588635.287521039,5588635.287521039,5588635.287521039
2025-02-25,5494131.573195531,5494131.573195531,5494131.573195531
2025-02-26,6597479.1808004,6597479.1808004,6597479.1808004
2025-02-27,5352019.587949756,5352019.587949756,5352019.587949756
2025-02-28,6353953.312767394,6353953.312767394,6353953.312767394
2025-03-01,6264456.26506057,6264456.26506057,6264456.26506057
2025-03-02,5069422.0662101805,5069422.0662101805,5069422.0662101805
2025-03-03,4739572.15583077,4739572.15583077,4739572.15583077
2025-03-04,5163315.989732833,5163315.989732833,5163315.989732833
2025-03-05,5579676.877953593,5579676.877953593,5579676.877953593
2025-03-06,5518963.63529215,5518963.63529215,5518963.63529215
2025-03-07,7084889.525167975,7084889.525167975,7084889.525167975
2025-03-08,6856445.213666041,6856445.213666041,6856445.213666041
2025-03-09,5691389.204713447,5691389.204713447,5691389.204713447
2025-03-10,4707360.793601072,4707360.793601072,4707360.793601072
2025-03-11,5202536.304814094,5202536.304814094,5202536.304814094
2025-03-12,5552967.676480263,5552967.676480263,5552967.676480263
2025-03-13,5455282.462575627,5455282.462575627,5455282.462575627
2025-03-14,7140333.202165179,7140333.202165179,7140333.202165179
2025-03-15,6780950.467835172,6780950.467835172,6780950.467835172
2025-03-16,5777848.510231842,5777848.510231842,5777848.510231842
2025-03-17,4828023.494373276,4828023.494373276,4828023.494373276
2025-03-18,5428614.052083867,5428614.052083867,5428614.052083867
2025-03-19,5756754.211121987,5756754.211121987,5756754.211121987
2025-03-20,5831404.86093927,5831404.86093927,5831404.86093927
2025-03-21,7097738.236243782,7097738.236243782,7097738.236243782
2025-03-22,6907574.163344593,6907574.163344593,6907574.163344593
2025-03-23,5903850.895110072,5903850.895110072,5903850.895110072
2025-03-24,4866598.538483676,4866598.538483676,4866598.538483676
2025-03-25,5486057.332844047,5486057.332844047,5486057.332844047
2025-03-26,5911217.369812213,5911217.369812213,5911217.369812213
2025-03-27,5768964.393934365,5768964.393934365,5768964.393934365
2025-03-28,6989301.859366734,6989301.859366734,6989301.859366734
2025-03-29,6858851.075432846,6858851.075432846,6858851.075432846
2025-03-30,5813815.634399029,5813815.634399029,5813815.634399029
2025-03-31,4908266.496849861,4908266.496849861,4908266.496849861
