ds,yhat,yhat_lower,yhat_upper
2024-01-01,7069321.0286018355,4454331.248748193,9724131.170879522
2024-01-02,7992187.274625637,5486011.728049829,10421766.595641457
2024-01-03,7415163.107648832,4731397.5074098315,10020169.381070307
2024-01-04,6989668.987329004,4352990.246769752,9467579.435929352
2024-01-05,7869794.108581461,5200973.013252318,10332683.58600685
2024-01-06,7389867.085147925,4840293.432926578,10164225.70954307
2024-01-07,6614720.436488896,3973096.616044993,9318862.748494832
2024-01-08,7080627.209320406,4367418.918762162,9645135.210910028
2024-01-09,6703190.790083098,4107879.828251802,9364863.790885016
2024-01-10,7255363.035136214,4735586.475986843,9737693.591378428
2024-01-11,5791685.783791827,3012841.406587118,8273474.063839547
2024-01-12,6839764.683141131,4096611.186749024,9498624.848683
2024-01-13,7076072.509034206,4501927.1165395025,9665086.982554983
2024-01-14,6458319.529642025,3837445.533263945,8891498.897741834
2024-01-15,6049058.258288984,3506324.9263905482,8717743.092397992
2024-01-16,6328792.323065777,3632221.920762925,8949211.26802292
2024-01-17,6111533.3390056,3507223.809774143,8944213.757021664
2024-01-18,6331476.179831947,3888888.8859489122,9000378.909027357
2024-01-19,6685054.709751401,4162926.1814650455,9314823.786537528
2024-01-20,6706348.517933561,4049844.4686786737,9309437.37399075
2024-01-21,5594865.13004162,2853555.258390503,8302873.113462757
2024-01-22,5882874.023253417,3280200.7903788155,8384695.718614437
2024-01-23,5798888.394639268,3156996.551346037,8456270.046505345
2024-01-24,5467121.672589059,2811618.1703864657,8031172.855221562
2024-01-25,4622080.255355576,2203164.177315408,7412753.638011385
2024-01-26,5700417.371345054,3145839.695086307,8392463.312817562
2024-01-27,5987622.413270489,3501115.8746896875,8542847.953913506
2024-01-28,5076740.545270527,2377502.041515746,7833458.865421328
2024-01-29,5108667.022258744,2647314.153127439,7572350.968963259
2024-01-30,5707107.929210272,3132322.115273969,8140629.38005637
2024-01-31,5260655.73582067,2852141.3021603758,7784756.852646391
2024-02-01,5309567.895794099,2866321.0669712955,7866731.42691876
2024-02-02,6623181.864756543,3846269.6407222324,9159749.171085117
2024-02-03,5632398.888751341,3132817.392365464,8303794.453095638
2024-02-04,5237276.4096838115,2644598.9979740484,7690440.308780333
2024-02-05,5388131.542920453,2592792.019881625,7989222.632411708
2024-02-06,5705854.004211938,3140893.2171563315,8302904.77019937
2024-02-07,5818356.279617542,3339802.1167060854,8303297.167141106
2024-02-08,5593544.819336706,2951363.799161056,8149464.707606085
2024-02-09,6191976.244538297,3546185.462232602,8731848.977448683
2024-02-10,8295444.5941656,5673563.091578364,10931446.51631967
2024-02-11,6244259.323726898,3629439.896502274,8748502.641502438
2024-02-12,6562017.551169736,4072791.7559266617,9244085.870158985
2024-02-13,6756499.527138572,4212121.426864677,9432596.01961877
2024-02-14,6190733.632781464,3614446.4820968467,8714074.944872433
2024-02-15,5830684.741437389,3103611.1599418917,8290809.249496203
2024-02-16,7179566.871249786,4582322.717046092,9722274.022269452
2024-02-17,6782802.389110998,4222564.712469351,9430210.227140766
2024-02-18,6566115.72187043,3916382.9220580216,9124066.999448786
2024-02-19,6582919.907243507,3903992.852486888,9213714.61659057
2024-02-20,7549141.51365274,4898727.125780492,10117352.732260203
2024-02-21,6993958.001073523,4251752.189744247,9771697.85301634
2024-02-22,6311849.113810002,3743081.257364661,8871010.978192843
2024-02-23,7186571.517273176,4531225.282798471,9749417.652193561
2024-02-24,7139452.981755613,4410243.297380974,9588640.97486915
2024-02-25,7101738.446704959,4487118.990697871,9771783.40587902
2024-02-26,6617914.398295138,4070467.491357294,9253242.428328302
2024-02-27,7519475.623010357,4862526.60000837,10212785.79322897
2024-02-28,6489412.383894087,3809765.26920049,9091023.240270255
2024-02-29,6645175.7300594235,4044638.950077354,9292071.348846078
2024-03-01,7091579.543586186,4618831.300792653,9568171.030618142
2024-03-02,6731598.974001436,4120023.41309634,9365251.353467783
2024-03-03,6003694.871508686,3506656.958812601,8620653.061286021
2024-03-04,5696334.654929869,3049559.897593986,8324552.909500499
2024-03-05,6681206.737805385,4232246.803104615,9345971.554699361
2024-03-06,5940826.2962312205,3255679.547657408,8654471.417101908
2024-03-07,5328759.146161918,2754478.8218939253,7845892.174028507
2024-03-08,6364885.88557833,3873640.496644069,9044150.374618018
2024-03-09,6315610.569276639,3819472.9108406915,8992983.951246014
2024-03-10,5789722.514827339,3190335.7954426226,8406238.625515739
2024-03-11,4939997.390459099,2231131.492492699,7324925.929886089
2024-03-12,5671903.2797689345,2998715.777223232,8318417.20616138
2024-03-13,5426269.440085813,2862703.785397002,8022921.614138324
2024-03-14,4514935.746536189,2085123.1977899752,7084758.191291667
2024-03-15,5762526.79442112,2999733.0744819613,8351536.728517794
2024-03-16,4962837.384915631,2126690.082012225,7392557.967158966
2024-03-17,5343550.017599739,2795713.739769907,8085666.423053782
2024-03-18,4668779.592579324,2134485.133575126,7300872.997089668
2024-03-19,5235008.668761064,2643214.789268276,7839249.313524236
2024-03-20,5027267.099322389,2535255.1694441256,7556226.656792524
2024-03-21,4786983.62479443,2125015.1052025673,7283455.820698667
2024-03-22,5017971.207147041,2439558.1022924143,7617838.525348124
2024-03-23,5417581.350526693,2643613.640706505,7942877.025210159
2024-03-24,7508380.873889243,4909852.345864911,10122663.158222707
2024-03-25,4368331.188640423,1785186.968549677,7010011.944784526
2024-03-26,5778578.791330111,3210396.758446506,8376147.421651192
2024-03-27,4501468.432106797,1915883.3193703215,6923854.815495975
2024-03-28,5055984.118474011,2463103.6454664012,7815766.419402915
2024-03-29,5630542.75764143,3024456.1139819473,8184126.751103216
2024-03-30,5889744.739086231,3557778.8711115173,8452339.981904812
2024-03-31,5158005.633302673,2434864.3744611875,7637273.31951301
2024-04-01,5073635.304011404,2620951.915478239,7695200.962679889
2024-04-02,6729899.129509342,4271474.297835466,9166693.216558551
2024-04-03,5828376.713750102,3373062.0768963187,8307754.779385103
2024-04-04,5314793.327392179,2815720.427388388,7981653.560345478
2024-04-05,6347515.88886611,3818498.7195539884,9026320.563093722
2024-04-06,7083224.914918815,4492199.665973718,9703695.986968549
2024-04-07,6157057.909417607,3659312.227786296,8976696.589599503
2024-04-08,6361198.387622544,3635772.9169259104,8784589.031765107
2024-04-09,6736583.884277375,4262833.856267797,9480955.547234561
2024-04-10,9141374.704701042,6614915.958167442,11580835.290068604
2024-04-11,6541278.367535303,3820193.5430543497,9303023.525711522
2024-04-12,7624816.008980492,5131492.691124944,10486083.832051616
2024-04-13,7078981.159837883,4427851.249915862,9439740.144391758
2024-04-14,7040071.366959142,4386336.211863418,9854607.713328863
2024-04-15,6955436.912271649,4403618.119295001,9542810.449828422
2024-04-16,7174802.761000713,4610734.524412237,9758874.723078726
2024-04-17,6989028.060024142,4381858.004723849,9613024.407069085
2024-04-18,6607568.822720347,4045132.140165196,9195513.307678267
2024-04-19,7007691.991845974,4461032.715914412,9555006.193743037
2024-04-20,7744620.618086086,5232202.240560526,10393580.159178136
2024-04-21,7155323.40153821,4736856.243377205,9887278.922137968
2024-04-22,6489326.331702786,3769645.4068151983,8936118.371260263
2024-04-23,7327273.032049635,4661674.556258392,10082234.332645385
2024-04-24,6765816.214886637,4133706.677537,9449630.410906577
2024-04-25,6993341.502351485,4423629.599566424,9480981.699686123
2024-04-26,6796288.829681041,4450836.513301691,9394034.26293723
2024-04-27,6153772.974184623,3457673.280748846,8608098.817013316
2024-04-28,5972130.4736377215,3347471.1643435885,8444103.073513212
2024-04-29,6053398.355829486,3412499.5778245605,8798424.53861907
2024-04-30,5869041.727308331,3326081.5087709283,8462805.589979298
2024-05-01,5797828.144541282,3054686.20252031,8520511.977507824
2024-05-02,5290246.702635367,2696911.9170470433,8014606.112306627
2024-05-03,5901114.8256936455,3205021.317683551,8550137.5382581
2024-05-04,5653077.322665848,3020281.278834421,8191634.048111321
2024-05-05,5411648.53935192,2910737.1682563815,7976267.809887895
2024-05-06,5108639.296005461,2440255.418023337,7824774.78432073
2024-05-07,5274478.887689871,2504564.282390635,7666607.808394275
2024-05-08,5265111.585877243,2630156.6467915415,7755752.27410836
2024-05-09,4725694.134739626,2140733.8154347795,7366011.849557333
2024-05-10,5488911.44429493,2859804.3768665805,8017644.515342472
2024-05-11,5696340.814278145,3273109.8011327516,8163473.352496806
2024-05-12,5151903.529711614,2462345.947285574,7743226.999878571
2024-05-13,5199572.820854975,2543477.6073767026,7716586.52243746
2024-05-14,4947744.904259566,2250320.4331539827,7611765.543790961
2024-05-15,5429761.039800477,2757699.144292078,8078721.572369838
2024-05-16,5477259.9823718015,2946416.9731123974,8075491.963469619
2024-05-17,6249916.663785051,3446088.713525496,8721417.494269537
2024-05-18,5903784.814609095,3238835.263894299,8530009.810399605
2024-05-19,6236923.330347712,3774997.394633898,8930788.166630147
2024-05-20,6271332.369816661,3656548.3582388023,8828085.106443046
2024-05-21,6875432.1667883955,4305932.980703362,9413996.114319699
2024-05-22,6434769.263184872,3901759.7837648457,9058180.36286706
2024-05-23,6312445.035495261,3686409.430207794,8796001.908139426
2024-05-24,7850502.769429754,5281906.154031825,10597150.26379643
2024-05-25,6816876.4611296775,4383259.845872348,9347567.033641852
2024-05-26,7002627.853261966,4448263.192135108,9658420.058065182
2024-05-27,6262369.771885051,3578033.5400321423,8864571.30035134
2024-05-28,7201768.082518577,4628931.2874266645,9885013.963899534
2024-05-29,6887205.897897101,4378819.834997141,9362568.044774845
2024-05-30,6890770.871456992,4106348.6837972095,9318306.693724226
2024-05-31,7956701.108456866,5388647.566283089,10531261.052414207
2024-06-01,7213854.969865591,4680156.14550425,9854107.122284658
2024-06-02,7065844.70642904,4384689.817133796,9576894.114413252
2024-06-03,7385883.709131749,4639825.826222143,10021436.6863036
2024-06-04,8300732.504049637,5789581.803682469,10831787.953306178
2024-06-05,6946121.8292378215,4431971.854448353,9812021.547393197
2024-06-06,6585382.870086078,4081712.7319706185,9093279.851653611
