ds,yhat,yhat_lower,yhat_upper
2025-01-01,5688503.317469208,2715834.921093014,8634479.001803732
2025-01-02,6930761.013630321,3997645.342779517,10084219.931906283
2025-01-03,7311989.425267425,4413853.154234525,10279139.744599698
2025-01-04,6974183.807614181,3946371.4014472384,9842024.388943544
2025-01-05,6679862.547733352,3662573.05869298,9610859.856626015
2025-01-06,6707238.888075395,3890296.3921882175,9760792.00933791
2025-01-07,7407698.668362197,4722057.238249463,10344219.815285778
2025-01-08,7594410.318075762,4779496.992291138,10608370.817318281
2025-01-09,7298303.174156775,4279137.258302683,10013325.868500486
2025-01-10,7476828.060034867,4354419.101456522,10418796.122365672
2025-01-11,6860693.769273911,3923261.17373684,9661303.573370934
2025-01-12,6879761.104294622,3802667.0751224016,9838049.873381697
2025-01-13,6766359.587787115,4208904.547735291,9977591.19155773
2025-01-14,7318319.842953626,4289282.334900452,10345686.919588344
2025-01-15,6936243.8418978,4155200.866057684,10081099.12455972
2025-01-16,6932186.208162447,4197028.264937011,9868771.67306405
2025-01-17,7437059.65417332,4523387.676991344,10238877.940392328
2025-01-18,7260988.71992945,4435965.649534171,10134469.469021227
2025-01-19,7353955.189722182,4443956.465348537,10207970.712395065
2025-01-20,7218696.18607265,4283577.714268682,9838807.959100066
2025-01-21,7577265.103337508,4377307.663443223,10442259.244721577
2025-01-22,7134243.793266494,4252642.91868818,10223748.468913734
2025-01-23,7023912.938196661,4250027.905378513,9810594.341995789
2025-01-24,7477223.11250531,4415262.492728657,10461936.72027547
2025-01-25,7187043.597347409,4226076.699878152,9972247.657960996
2025-01-26,7040533.394517245,3887732.214194107,9889726.899546705
2025-01-27,6612359.977963904,3771116.56833871,9388048.704132592
2025-01-28,6770737.264014321,4059416.975744981,9674504.9270064
2025-01-29,6314802.624531486,3592995.148526623,9104510.441524642
2025-01-30,6334689.351265911,3367030.183333623,8959413.549746659
2025-01-31,6931130.709600764,4077472.458112511,9959731.424312815
2025-02-01,6707884.294699185,3973762.844252456,9617794.017390033
2025-02-02,6579899.853324862,3539069.982584304,9461964.928967958
2025-02-03,6231661.957250436,3107869.579847146,9196013.838442096
2025-02-04,6596999.356552547,3594676.337146447,9644726.192669244
2025-02-05,6419294.843414214,3597415.5617759065,9289250.533193098
2025-02-06,6642488.686103397,3899755.0879795616,9675692.83182404
2025-02-07,7259689.491361071,4286664.651847114,10128906.445452113
2025-02-08,6897815.8183934735,3992063.1405662084,10098577.508167006
2025-02-09,6593613.435146446,3293386.4337562593,9569480.6452952
2025-02-10,6143981.752454916,3167768.5508141983,8939059.882586775
2025-02-11,6492327.406737157,3567050.675503159,9383776.344632583
2025-02-12,6314443.965231017,3413726.3296062914,9164043.752023846
2025-02-13,6504977.657511353,3578033.565915777,9318148.90728004
2025-02-14,7106679.56471914,4039280.7215489503,10187760.81086212
2025-02-15,6860360.977053115,3986988.173447356,9880031.770314293
2025-02-16,6857154.371599574,3784722.3314249,9730605.9998914
2025-02-17,6811023.996684857,3908204.199155968,9766846.933576336
2025-02-18,7480790.144236635,4475582.3867037585,10273974.112566328
2025-02-19,7398657.7538990155,4564235.393681174,10183672.2228745
2025-02-20,7461572.747762075,4481045.347880524,10419637.962827709
2025-02-21,7850268.144391825,4972203.430983362,10823066.312944403
2025-02-22,7451173.195469838,4488065.866403651,10502333.774027234
2025-02-23,7379727.683257467,4498897.413261482,10522408.55281103
2025-02-24,7254359.082137623,4435302.977736767,10035861.279095544
2025-02-25,7727060.563280162,4873776.94729503,10723592.621076083
2025-02-26,7336065.8167392155,4498671.052217952,10276668.188105507
2025-02-27,7099727.0938164145,4086011.8308259803,9912827.773671845
2025-02-28,7333854.928712503,4386775.558606568,9957503.30526098
2025-03-01,6954536.85892318,4123741.0028976635,9898442.899771359
2025-03-02,6977310.378717538,4117273.529336609,9929012.182199435
2025-03-03,6896411.577962171,3923413.313253865,9722591.42239487
2025-03-04,7329786.197203253,4497291.647885152,10038182.662082465
