ds,yhat,yhat_lower,yhat_upper
2025-01-01,6158566.151470428,4228447.376323155,8115870.532133779
2025-01-02,6187629.174598869,4213076.403266236,7994953.250975105
2025-01-03,6487768.053180061,4499602.714064867,8525448.958374241
2025-01-04,6068070.735270217,4167345.670214477,7871543.852192599
2025-01-05,6002951.283455477,3942996.5392636172,7951688.184827507
2025-01-06,5960259.479950673,4121476.8382600043,7724882.457414202
2025-01-07,6498546.547741507,4737527.638431065,8534362.099846533
2025-01-08,6217116.268888941,4371173.37357033,8140588.681590469
2025-01-09,6034193.569655366,4003800.4995068703,7965959.33837649
2025-01-10,6153512.795596985,4272428.828866773,8050799.248531943
2025-01-11,5635555.6552571375,3676989.568062691,7470480.214601114
2025-01-12,5511110.055375151,3569197.7170034363,7460516.756098562
2025-01-13,5394253.614847924,3409582.907022852,7319129.720948781
2025-01-14,5856621.204238727,3933665.5119049475,7768860.660419185
2025-01-15,5595827.535704771,3700673.256663629,7431548.357010578
2025-01-16,5610345.269271161,3763369.5510493936,7504277.457593194
2025-01-17,6079142.391157814,4115132.823869452,8190396.705675632
2025-01-18,5923742.698819702,4019472.030108365,7815522.855670802
2025-01-19,6006940.286020044,4133008.3301453567,7904750.559573077
2025-01-20,5881634.259529273,3955269.557290797,7766703.640453344
2025-01-21,6193538.507913987,4418515.328706733,8176251.764571681
2025-01-22,5780657.849108301,3815696.8661612254,7594493.728541894
2025-01-23,5709527.28028,3940216.1761172675,7562481.837182856
2025-01-24,6115730.273500014,4260996.010716301,8146452.728110742
2025-01-25,5830872.16305098,3903534.8919968684,7715022.447494603
2025-01-26,5680852.19418051,3913781.2582777548,7618156.830847607
2025-01-27,5298082.103893812,3445186.6606360134,7357820.936668396
2025-01-28,5454540.743428755,3455605.948114837,7492713.77059306
2025-01-29,5060086.416679765,3212401.203924098,6919152.489035216
2025-01-30,5126051.162285354,3262217.617548709,7071707.663430398
2025-01-31,5670827.304299454,3712183.2482771375,7488213.190074422
2025-02-01,5716933.246132794,3748566.676181425,7678776.752291913
2025-02-02,5601160.522030169,3641188.350911594,7529769.947334042
2025-02-03,5307731.762402313,3429537.272476264,7261773.435176868
2025-02-04,5651134.969358057,3795708.6659750044,7609528.468653245
2025-02-05,5484808.898861101,3386864.4529357017,7361657.037147073
2025-02-06,5692835.665148872,3666736.411769792,7707933.665355021
2025-02-07,6214303.2392048,4217649.503470785,8048022.7665823335
2025-02-08,5849996.869209368,3875737.992737841,7781923.982266768
2025-02-09,5560815.841330237,3681991.285644282,7381522.376623692
2025-02-10,5160647.46166968,3257799.812078745,7043151.607499711
2025-02-11,5460291.527214447,3502753.27522379,7417244.1704893205
2025-02-12,5258734.16373991,3230285.604186857,7206118.939603827
2025-02-13,5409264.618889744,3516068.6129578757,7223215.052837806
2025-02-14,5909776.725302602,3953082.4378380133,7768895.314003756
2025-02-15,5666318.836175367,3842734.903822722,7534502.2558733
2025-02-16,5673556.545982119,4003143.2575858445,7502878.262953983
2025-02-17,5657746.235977198,3699492.5325508313,7482304.595665417
2025-02-18,6259237.008175757,4235000.589546309,8214762.27278444
