product_1,product_2,p1_aisle,p1_rack,p2_aisle,p2_rack,same_aisle,same_rack,suggestion,lift,confidence,priority
Lenovo Tab M10 Tablet,JBL C200 Bass Earphones,A1,R3,A3,R4,False,False,❗ Different aisles: Consider relocating Lenovo Tab M10 Tablet near JBL C200 Bass Earphones,1.1750681198910082,0.359375,Low
Anker PowerCore 10K Powerbank,JBL C200 Bass Earphones,A3,R5,A3,R4,True,False,"⚠ Same aisle, different racks: Consider moving Anker PowerCore 10K Powerbank closer to JBL C200 Bass Earphones",1.1750681198910082,0.359375,Low
Mi Fast Charger 20W,JBL C200 Bass Earphones,A3,R4,A3,R4,True,True,✓ Already together: Mi Fast Charger 20W and JBL C200 Bass Earphones on same rack,1.1750681198910082,0.359375,Low
Amazfit Bip U Pro Smartwatch,JBL C200 Bass Earphones,A4,R6,A3,R4,False,False,❗ Different aisles: Consider relocating Amazfit Bip U Pro Smartwatch near JBL C200 Bass Earphones,1.1474145552357844,0.1026936026936027,Low
JBL C200 Bass Earphones,Amazfit Bip U Pro Smartwatch,A3,R4,A4,R6,False,False,❗ Different aisles: Consider relocating JBL C200 Bass Earphones near Amazfit Bip U Pro Smartwatch,1.1474145552357844,0.34078212290502796,Low
Amazfit Bip U Pro Smartwatch,Dell Inspiron 3501 Laptop,A4,R6,A2,R2,False,False,❗ Different aisles: Consider relocating Amazfit Bip U Pro Smartwatch near Dell Inspiron 3501 Laptop,1.1474145552357844,0.1026936026936027,Low
Dell Inspiron 3501 Laptop,Amazfit Bip U Pro Smartwatch,A2,R2,A4,R6,False,False,❗ Different aisles: Consider relocating Dell Inspiron 3501 Laptop near Amazfit Bip U Pro Smartwatch,1.1474145552357844,0.34078212290502796,Low
Anker PowerCore 10K Powerbank,Amazfit Bip U Pro Smartwatch,A3,R5,A4,R6,False,False,❗ Different aisles: Consider relocating Anker PowerCore 10K Powerbank near Amazfit Bip U Pro Smartwatch,1.1467330307910018,0.3405797101449275,Low
Xiaomi Redmi Note 11 Smartphone,Amazfit Bip U Pro Smartwatch,A1,R1,A4,R6,False,False,❗ Different aisles: Consider relocating Xiaomi Redmi Note 11 Smartphone near Amazfit Bip U Pro Smartwatch,1.1467330307910018,0.3405797101449275,Low
HP Pavilion 15 Laptop,Amazfit Bip U Pro Smartwatch,A2,R2,A4,R6,False,False,❗ Different aisles: Consider relocating HP Pavilion 15 Laptop near Amazfit Bip U Pro Smartwatch,1.1467330307910018,0.3405797101449275,Low
Lenovo Tab M10 Tablet,JBL C200 Bass Earphones,A1,R3,A3,R4,False,False,❗ Different aisles: Consider relocating Lenovo Tab M10 Tablet near JBL C200 Bass Earphones,1.1131080062612324,0.3404255319148936,Low
Anker PowerCore 10K Powerbank,JBL C200 Bass Earphones,A3,R5,A3,R4,True,False,"⚠ Same aisle, different racks: Consider moving Anker PowerCore 10K Powerbank closer to JBL C200 Bass Earphones",1.1131080062612324,0.3404255319148936,Low
HP Pavilion 15 Laptop,JBL C200 Bass Earphones,A2,R2,A3,R4,False,False,❗ Different aisles: Consider relocating HP Pavilion 15 Laptop near JBL C200 Bass Earphones,1.1131080062612324,0.3404255319148936,Low
JBL C200 Bass Earphones,Dell Inspiron 3501 Laptop,A3,R4,A2,R2,False,False,❗ Different aisles: Consider relocating JBL C200 Bass Earphones near Dell Inspiron 3501 Laptop,1.1060353467944615,0.09972752043596729,Low
Amazfit Bip U Pro Smartwatch,JBL C200 Bass Earphones,A4,R6,A3,R4,False,False,❗ Different aisles: Consider relocating Amazfit Bip U Pro Smartwatch near JBL C200 Bass Earphones,1.1060353467944615,0.3382624768946395,Low
Dell Inspiron 3501 Laptop,JBL C200 Bass Earphones,A2,R2,A3,R4,False,False,❗ Different aisles: Consider relocating Dell Inspiron 3501 Laptop near JBL C200 Bass Earphones,1.1060353467944615,0.3382624768946395,Low
JBL C200 Bass Earphones,Amazfit Bip U Pro Smartwatch,A3,R4,A4,R6,False,False,❗ Different aisles: Consider relocating JBL C200 Bass Earphones near Amazfit Bip U Pro Smartwatch,1.1060353467944615,0.09972752043596729,Low
Boat Stone 200 Bluetooth Speaker,Anker PowerCore 10K Powerbank,A4,R7,A3,R5,False,False,❗ Different aisles: Consider relocating Boat Stone 200 Bluetooth Speaker near Anker PowerCore 10K Powerbank,1.099093248070342,0.3308270676691729,Low
Dell Inspiron 3501 Laptop,Anker PowerCore 10K Powerbank,A2,R2,A3,R5,False,False,❗ Different aisles: Consider relocating Dell Inspiron 3501 Laptop near Anker PowerCore 10K Powerbank,1.099093248070342,0.3308270676691729,Low
Amazfit Bip U Pro Smartwatch,Anker PowerCore 10K Powerbank,A4,R6,A3,R5,False,False,❗ Different aisles: Consider relocating Amazfit Bip U Pro Smartwatch near Anker PowerCore 10K Powerbank,1.099093248070342,0.3308270676691729,Low
Dell Inspiron 3501 Laptop,Amazfit Bip U Pro Smartwatch,A2,R2,A4,R6,False,False,❗ Different aisles: Consider relocating Dell Inspiron 3501 Laptop near Amazfit Bip U Pro Smartwatch,1.0937780168549398,0.10427350427350428,Low
JBL C200 Bass Earphones,Dell Inspiron 3501 Laptop,A3,R4,A2,R2,False,False,❗ Different aisles: Consider relocating JBL C200 Bass Earphones near Dell Inspiron 3501 Laptop,1.0937780168549398,0.3199300699300699,Low
Amazfit Bip U Pro Smartwatch,Dell Inspiron 3501 Laptop,A4,R6,A2,R2,False,False,❗ Different aisles: Consider relocating Amazfit Bip U Pro Smartwatch near Dell Inspiron 3501 Laptop,1.0937780168549398,0.3199300699300699,Low
Dell Inspiron 3501 Laptop,JBL C200 Bass Earphones,A2,R2,A3,R4,False,False,❗ Different aisles: Consider relocating Dell Inspiron 3501 Laptop near JBL C200 Bass Earphones,1.0937780168549398,0.10427350427350428,Low
JBL C200 Bass Earphones,HP Pavilion 15 Laptop,A3,R4,A2,R2,False,False,❗ Different aisles: Consider relocating JBL C200 Bass Earphones near HP Pavilion 15 Laptop,1.08991825613079,0.09046321525885558,Low
Lenovo Tab M10 Tablet,JBL C200 Bass Earphones,A1,R3,A3,R4,False,False,❗ Different aisles: Consider relocating Lenovo Tab M10 Tablet near JBL C200 Bass Earphones,1.08991825613079,0.3333333333333333,Low
HP Pavilion 15 Laptop,JBL C200 Bass Earphones,A2,R2,A3,R4,False,False,❗ Different aisles: Consider relocating HP Pavilion 15 Laptop near JBL C200 Bass Earphones,1.08991825613079,0.3333333333333333,Low
JBL C200 Bass Earphones,Lenovo Tab M10 Tablet,A3,R4,A1,R3,False,False,❗ Different aisles: Consider relocating JBL C200 Bass Earphones near Lenovo Tab M10 Tablet,1.08991825613079,0.09046321525885558,Low
Anker PowerCore 10K Powerbank,JBL C200 Bass Earphones,A3,R5,A3,R4,True,False,"⚠ Same aisle, different racks: Consider moving Anker PowerCore 10K Powerbank closer to JBL C200 Bass Earphones",1.0877074685929995,0.332657200811359,Low
JBL C200 Bass Earphones,Mi Fast Charger 20W,A3,R4,A3,R4,True,True,✓ Already together: JBL C200 Bass Earphones and Mi Fast Charger 20W on same rack,1.0877074685929995,0.0893732970027248,Low
