ds,yhat,yhat_lower,yhat_upper
2024-10-03,7.4267945e+06,7.4267945e+06,7.4267945e+06
2024-10-04,5.746394e+06,5.746394e+06,5.746394e+06
2024-10-05,6.456702e+06,6.456702e+06,6.456702e+06
2024-10-06,5.1834175e+06,5.1834175e+06,5.1834175e+06
2024-10-07,4.8837705e+06,4.8837705e+06,4.8837705e+06
2024-10-08,7.032825e+06,7.032825e+06,7.032825e+06
2024-10-09,7.244433e+06,7.244433e+06,7.244433e+06
2024-10-10,7.103735e+06,7.103735e+06,7.103735e+06
2024-10-11,6.609802e+06,6.609802e+06,6.609802e+06
2024-10-12,5.455369e+06,5.455369e+06,5.455369e+06
2024-10-13,4.4385405e+06,4.4385405e+06,4.4385405e+06
2024-10-14,7.8192345e+06,7.8192345e+06,7.8192345e+06
2024-10-15,8.0375755e+06,8.0375755e+06,8.0375755e+06
2024-10-16,6.2718445e+06,6.2718445e+06,6.2718445e+06
2024-10-17,6.3610145e+06,6.3610145e+06,6.3610145e+06
2024-10-18,6.389024e+06,6.389024e+06,6.389024e+06
2024-10-19,5.9558855e+06,5.9558855e+06,5.9558855e+06
2024-10-20,5.631137e+06,5.631137e+06,5.631137e+06
2024-10-21,6.253964e+06,6.253964e+06,6.253964e+06
2024-10-22,5.722697e+06,5.722697e+06,5.722697e+06
2024-10-23,4.517024e+06,4.517024e+06,4.517024e+06
2024-10-24,4.6939225e+06,4.6939225e+06,4.6939225e+06
2024-10-25,4.7173175e+06,4.7173175e+06,4.7173175e+06
2024-10-26,6.1512945e+06,6.1512945e+06,6.1512945e+06
2024-10-27,6.433444e+06,6.433444e+06,6.433444e+06
2024-10-28,7.4825315e+06,7.4825315e+06,7.4825315e+06
2024-10-29,6.982068e+06,6.982068e+06,6.982068e+06
2024-10-30,7.35818e+06,7.35818e+06,7.35818e+06
2024-10-31,7.6418515e+06,7.6418515e+06,7.6418515e+06
2024-11-01,4.7188115e+06,4.7188115e+06,4.7188115e+06
2024-11-02,5.6129605e+06,5.6129605e+06,5.6129605e+06
2024-11-03,5.1678685e+06,5.1678685e+06,5.1678685e+06
2024-11-04,5.4536825e+06,5.4536825e+06,5.4536825e+06
2024-11-05,8.15621e+06,8.15621e+06,8.15621e+06
2024-11-06,5.5337495e+06,5.5337495e+06,5.5337495e+06
2024-11-07,6.4358025e+06,6.4358025e+06,6.4358025e+06
2024-11-08,8.692989e+06,8.692989e+06,8.692989e+06
2024-11-09,8.0361315e+06,8.0361315e+06,8.0361315e+06
2024-11-10,5.0658305e+06,5.0658305e+06,5.0658305e+06
2024-11-11,6.5935785e+06,6.5935785e+06,6.5935785e+06
2024-11-12,6.000188e+06,6.000188e+06,6.000188e+06
2024-11-13,8.247092e+06,8.247092e+06,8.247092e+06
2024-11-14,6.3077735e+06,6.3077735e+06,6.3077735e+06
2024-11-15,6.379367e+06,6.379367e+06,6.379367e+06
2024-11-16,8.06441e+06,8.06441e+06,8.06441e+06
2024-11-17,4.8752395e+06,4.8752395e+06,4.8752395e+06
2024-11-18,6.50604e+06,6.50604e+06,6.50604e+06
2024-11-19,6.8805745e+06,6.8805745e+06,6.8805745e+06
2024-11-20,4.9110225e+06,4.9110225e+06,4.9110225e+06
2024-11-21,5.119161e+06,5.119161e+06,5.119161e+06
2024-11-22,5.4179675e+06,5.4179675e+06,5.4179675e+06
2024-11-23,7.1214255e+06,7.1214255e+06,7.1214255e+06
2024-11-24,4.91204e+06,4.91204e+06,4.91204e+06
2024-11-25,5.518193e+06,5.518193e+06,5.518193e+06
2024-11-26,5.670345e+06,5.670345e+06,5.670345e+06
2024-11-27,5.0032035e+06,5.0032035e+06,5.0032035e+06
2024-11-28,4.37374e+06,4.37374e+06,4.37374e+06
2024-11-29,5.067746e+06,5.067746e+06,5.067746e+06
2024-11-30,4.658203e+06,4.658203e+06,4.658203e+06
2024-12-01,6.4217785e+06,6.4217785e+06,6.4217785e+06
2024-12-02,5.4642885e+06,5.4642885e+06,5.4642885e+06
2024-12-03,7.016822e+06,7.016822e+06,7.016822e+06
2024-12-04,5.6696075e+06,5.6696075e+06,5.6696075e+06
2024-12-05,5.5326675e+06,5.5326675e+06,5.5326675e+06
2024-12-06,5.479547e+06,5.479547e+06,5.479547e+06
2024-12-07,7.3146265e+06,7.3146265e+06,7.3146265e+06
2024-12-08,6.3383815e+06,6.3383815e+06,6.3383815e+06
2024-12-09,7.617716e+06,7.617716e+06,7.617716e+06
2024-12-10,6.9305725e+06,6.9305725e+06,6.9305725e+06
2024-12-11,5.77019e+06,5.77019e+06,5.77019e+06
2024-12-12,5.685093e+06,5.685093e+06,5.685093e+06
2024-12-13,6.3038565e+06,6.3038565e+06,6.3038565e+06
2024-12-14,7.123527e+06,7.123527e+06,7.123527e+06
2024-12-15,5.1776435e+06,5.1776435e+06,5.1776435e+06
2024-12-16,5.270717e+06,5.270717e+06,5.270717e+06
2024-12-17,6.4058785e+06,6.4058785e+06,6.4058785e+06
2024-12-18,5.8912145e+06,5.8912145e+06,5.8912145e+06
2024-12-19,6.0776705e+06,6.0776705e+06,6.0776705e+06
2024-12-20,5.5279905e+06,5.5279905e+06,5.5279905e+06
2024-12-21,5.0574325e+06,5.0574325e+06,5.0574325e+06
2024-12-22,5.6354475e+06,5.6354475e+06,5.6354475e+06
2024-12-23,5.431108e+06,5.431108e+06,5.431108e+06
2024-12-24,7.284786e+06,7.284786e+06,7.284786e+06
2024-12-25,7.979596e+06,7.979596e+06,7.979596e+06
2024-12-26,6.297979e+06,6.297979e+06,6.297979e+06
2024-12-27,5.0537885e+06,5.0537885e+06,5.0537885e+06
2024-12-28,8.182342e+06,8.182342e+06,8.182342e+06
2024-12-29,8.654174e+06,8.654174e+06,8.654174e+06
2024-12-30,6.6260775e+06,6.6260775e+06,6.6260775e+06
2024-12-31,6.0830905e+06,6.0830905e+06,6.0830905e+06
